id,title,desc_template,type,tag_main,tag_target,intro_dialog_id,btn_a,eff_a,req_a,chain_a,dialog_a_id,btn_b,eff_b,req_b,chain_b,dialog_b_id,btn_c,eff_c,req_c,chain_c,dialog_c_id,weight
505,甚至不是人,路人 {A} 走路姿势僵硬，似乎是玩家上传的bug数据。,CHOICE,ANY,ANY,尝试修复(治疗),PLAYER:Money:-100;PLAYER:Fame:50;SELF:emotion:NORMAL,MONEY:100,,删除数据(暗杀),PLAYER:Fame:-100;SELF:safety:DANGER,,,提交工单(无视),PLAYER:Fame:1,,,2
605,叩阙求食,流民 {A} 跪在城门外，衣衫褴褛，恳求施舍一口热粥。,CHOICE,NONE,ANY,E605_INTRO,开仓放粮(仁政),PLAYER:inventory:GRAIN:-1;PLAYER:Fame:150;SELF:emotion:HAPPY;SELF:hp:100,ITEM:GRAIN,,E605_A,武力驱逐(酷吏),PLAYER:Fame:50;SELF:safety:DANGER;SELF:tags:HATED;PLAYER:AddTag:CRUEL,,,E605_B,视而不见(冷漠),PLAYER:Fame:-10;SELF:emotion:DESPAIR,,,E605_C,30
700,【背叛困境】沉默的证人,你的门客 {A} 私下告诉你：你的商业伙伴 {B} 一直在走私禁品。而 {B} 曾在你最落魄时救过你的命。官府正在调查，若隐瞒可能受牵连。,DILEMMA,FOLLOWER,MERCHANT,E700_INTRO,如实举报(正义),PLAYER:Fame:300;PLAYER:AddTag:JUSTICE;OTHER:freedom:SLAVE;OTHER:safety:EXILE;OTHER:affinity:PLAYER:-100,,,E700_A,伪造证据脱罪,PLAYER:Fame:-200;PLAYER:AddTag:ACCOMPLICE;OTHER:affinity:PLAYER:50;PLAYER:Money:-500,MONEY:500,,E700_B,杀人灭口,PLAYER:Fame:-500;PLAYER:AddTag:VILLAIN;SELF:safety:DEAD;OTHER:emotion:NORMAL,,,E700_C,40
701,【牺牲困境】瘟疫来袭,大疫封城，解药只够救一人。{A}是陪你出生入死的好友，{B}是能研制更多解药的神医。两人都已染病，神医若死，全城人将跟着陪葬。,DILEMMA,FRIEND,DOCTOR,E701_INTRO,救好友(情义),PLAYER:Fame:-100;PLAYER:AddTag:LOYAL;SELF:safety:NORMAL;SELF:hp:100;OTHER:safety:DEAD;PLAYER:AddTag:SELFISH,,,E701_A,救神医(大局),PLAYER:Fame:200;PLAYER:AddTag:RUTHLESS;SELF:safety:DEAD;SELF:affinity:PLAYER:-100;OTHER:safety:NORMAL;OTHER:is_follower:True,,,E701_B,独吞解药(自保),PLAYER:hp:100;PLAYER:Fame:-500;PLAYER:AddTag:COWARD;SELF:safety:DEAD;OTHER:safety:DEAD,,,E701_C,40
702,【大义困境】叛军头领,你擒获叛军首领 {A}，他曾在你被追杀时冒死救你。朝廷悬赏千金，但{A}的部众扬言若官府处刑，便血洗全城平民。,DILEMMA,REBEL,ANY,E702_INTRO,交给官府(忠),PLAYER:Money:1000;PLAYER:Fame:500;PLAYER:AddTag:LOYAL_COURT;SELF:freedom:SLAVE;SELF:safety:EXECUTION;SELF:affinity:PLAYER:-100,,,E702_A,放虎归山(义),PLAYER:Fame:-300;PLAYER:AddTag:REBEL_FRIEND;SELF:affinity:PLAYER:100;SELF:safety:NORMAL;PLAYER:safety:WANTED,,,E702_B,秘密处决,PLAYER:Fame:100;PLAYER:AddTag:PRAGMATIC;SELF:safety:DEAD;PLAYER:Money:0,,,E702_C,35
703,【打压困境】功臣震主,你门下最得力的门客 {A} 声望日隆，在外的名声几乎盖过了你。有人密告他正在暗中笼络你的人脉，准备自立门户抢走你的生意。,DILEMMA,FOLLOWER,ANY,E703_INTRO,找茬驱逐,PLAYER:Fame:-150;PLAYER:AddTag:TYRANT;SELF:is_follower:False;SELF:affinity:PLAYER:-100;SELF:emotion:ANGRY;SELF:tags:BETRAYED,,,E703_A,委以重任(信任),PLAYER:Fame:200;PLAYER:AddTag:MAGNANIMOUS;SELF:affinity:PLAYER:80;SELF:tags:LOYAL,,,E703_B,暗中监视,PLAYER:Money:-300;SELF:emotion:NORMAL,MONEY:300,,E703_C,35
704,【人情困境】救命稻草,你欠 {A} 一个天大的人情——当年他变卖家产救你于绝境。如今他落魄来求你：帮他打压诚实经营的竞争对手 {B}。若拒绝，他威胁将你当年的丑闻公之于众。,DILEMMA,CREDITOR,MERCHANT,E704_INTRO,帮他打压{partner},PLAYER:Fame:-200;PLAYER:AddTag:BULLY;OTHER:eco_status:POOR;OTHER:emotion:DESPAIR;SELF:affinity:PLAYER:50;SELF:emotion:HAPPY,,,E704_A,断然拒绝(丑闻曝光),PLAYER:Fame:-400;PLAYER:AddTag:SCANDAL;SELF:affinity:PLAYER:-80;OTHER:emotion:NORMAL,,,E704_B,铤而走险(灭口),PLAYER:Fame:-300;PLAYER:AddTag:ASSASSIN;SELF:safety:DEAD;OTHER:safety:NORMAL,,,E704_C,35
705,【复合困境】三角债,你同时欠 {A} 和 {B} 各五百两，但你只有五百两。{A}是你的救命恩人，{B}手握你贪赃枉法的证据。两人今日同时上门，必须当场做决定。,DILEMMA,CREDITOR,CREDITOR,E705_INTRO,还给{npc}(恩情),PLAYER:Money:-500;SELF:affinity:PLAYER:50;SELF:emotion:HAPPY;OTHER:affinity:PLAYER:-100;OTHER:emotion:ANGRY;PLAYER:AddTag:SCANDAL,MONEY:500,,E705_A,还给{partner}(保密),PLAYER:Money:-500;SELF:affinity:PLAYER:-100;SELF:emotion:ANGRY;OTHER:affinity:PLAYER:30;OTHER:emotion:NORMAL,MONEY:500,,E705_B,宣布破产,PLAYER:Money:-500;PLAYER:Fame:-200;PLAYER:eco_status:POOR;SELF:emotion:SAD;OTHER:emotion:SAD;PLAYER:AddTag:SCANDAL,MONEY:500,,E705_C,30
706,【道德困境】奴隶拍卖,奴隶市场上，母子二人 {A} 正被分开贩卖。母亲声嘶力竭跪求你买下孩子，孩子年幼不懂事只知道哭喊要娘。你的钱只够买一人。,DILEMMA,SLAVE,ANY,E706_INTRO,买母亲(劳动力),PLAYER:Money:-300;PLAYER:Fame:50;SELF:freedom:SERVANT;SELF:emotion:DESPAIR;SELF:is_follower:True;SELF:tags:BROKEN,MONEY:300,,E706_A,买孩子(良心),PLAYER:Money:-200;PLAYER:Fame:100;PLAYER:AddTag:COMPASSION,MONEY:200,,E706_B,放弃(无力回天),PLAYER:Fame:-50;SELF:emotion:DESPAIR,,,E706_C,35
707,【知情困境】致命秘密,你偶然发现最信任的门客 {A} 其实是朝廷通缉的重犯，十年前杀过人。他对你忠心耿耿，但若被发现窝藏，你全家都要流放。,DILEMMA,FOLLOWER,ANY,E707_INTRO,举报领赏,PLAYER:Money:800;PLAYER:Fame:200;SELF:freedom:SLAVE;SELF:safety:EXECUTION;SELF:affinity:PLAYER:-100,,,E707_A,协助隐藏(庇护),PLAYER:Fame:-100;PLAYER:AddTag:HARBORER;SELF:affinity:PLAYER:100;SELF:emotion:HAPPY;PLAYER:safety:DANGER,,,E707_B,送他远走,PLAYER:Fame:0;SELF:is_follower:False;SELF:affinity:PLAYER:30;SELF:emotion:SAD;PLAYER:Money:-200,MONEY:200,,E707_C,35
708,【继承困境】遗产纷争,富商 {A} 临终托孤，将万贯家财交你分配。按律当归不孝长子，但 {A} 的遗愿是给在床前尽孝的次子 {B}。长子放言若不按律分，便告你侵吞。,DILEMMA,RICH,ANY,E708_INTRO,按遗愿执行(情),PLAYER:Fame:100;SELF:emotion:HAPPY;OTHER:affinity:PLAYER:50;PLAYER:safety:LAWSUIT,,,E708_A,按律执行(法),PLAYER:Fame:100;SELF:emotion:SAD;PLAYER:AddTag:LAWFUL;OTHER:emotion:ANGRY,,,E708_B,私吞遗产,PLAYER:Money:2000;PLAYER:Fame:-500;PLAYER:AddTag:THIEF;SELF:emotion:DESPAIR;OTHER:affinity:PLAYER:-100,,,E708_C,25
999,平静的一天,虽然没有什么大事发生，但 {A} 看起来心情不错。,NEWS,ANY,ANY,,,,,,,,,,,,,1
